,titulos,empresa,todas_salario,todos_local,url
0,ANALISTA DE DADOS PL,GLOBAL WEB,A Combinar,Brasilia - DF (1),https://www.catho.com.br/vagas/analista-de-dados-pl/24282424/?origem_apply=busca-de-vagas&entrada_apply=direto
1,Analista de Dados Pleno,FUNDAÇÃO ITÁU SOCIAL,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno/24281676/?origem_apply=busca-de-vagas&entrada_apply=direto
2,Analista de Dados Pl.,HOSPITAL CARE,A Combinar,Campinas - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pl/24280820/?origem_apply=busca-de-vagas&entrada_apply=direto
3,Analista de Dados Pleno,FATOR WOW!,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno/24282703/?origem_apply=busca-de-vagas&entrada_apply=direto
4,Analista de Dados - BI,CATAGUÁ,A Combinar,Piracicaba - SP (1),https://www.catho.com.br/vagas/analista-de-dados-bi/24276675/?origem_apply=busca-de-vagas&entrada_apply=direto
5,Analista de Dados (Logística),SHOPEE BRASIL,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-logistica/24236643/?origem_apply=busca-de-vagas&entrada_apply=direto
6,Analista de Dados Pleno,CADASTRA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno/24238974/?origem_apply=busca-de-vagas&entrada_apply=direto
7,Analista de Dados Jr,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-jr/24133345/?origem_apply=busca-de-vagas&entrada_apply=direto
8,Pessoa Analista de Dados,EMPREGARA,A Combinar,Caxias do Sul - RS (1),https://www.catho.com.br/vagas/pessoa-analista-de-dados/24129893/?origem_apply=busca-de-vagas&entrada_apply=direto
9,ANALISTA DE DADOS CLINICOS III,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-clinicos-iii/24132086/?origem_apply=busca-de-vagas&entrada_apply=direto
